,EventTime,Origin,Destination
688,2003.038346,SudesteBR,Europa
689,2003.038326,SudesteBR,Europa
690,1975.9623660000002,SudesteBR,Europa
691,2006.038346,SudesteBR,SulBR
692,2003.038336,SudesteBR,Europa
693,2003.038346,SudesteBR,Europa
694,2006.038346,SudesteBR,Europa
695,2017.038346,SudesteBR,NordesteBR
696,2015.038336,SudesteBR,NordesteBR
697,2015.038346,SudesteBR,NorteBR
698,2007.038346,SudesteBR,OtherLocations
699,2015.038346,SudesteBR,NordesteBR
700,2017.038346,SudesteBR,SulBR
701,2017.038336,SudesteBR,NorteBR
702,2015.038336,SudesteBR,SulBR
703,2015.038346,SudesteBR,NordesteBR
704,2003.038346,SudesteBR,Europa
705,2014.038346,SudesteBR,NordesteBR
706,2017.038346,SudesteBR,NordesteBR
707,2002.2278660000002,SudesteBR,Europa
708,2016.038236,SudesteBR,NorteBR
709,2016.038246,SudesteBR,Bahia
710,2017.038356,SudesteBR,SulBR
